Number,Name,From
207,Critical Mass,"Englewood, NJ"
724,RedNek Robotics Wun,"Sun River, MT"
3189,Rapid Unscheduled Disassembly,"Powell, WY"
3409,Astromechs,"Kansas City, MO"
5741,CVU RoboHawks,"Hinesburg, VT"
6133,"The ""NUTS!""","Cincinnati, OH"
6165,MSET CuttleFish,"Saratoga, CA"
6272,Iron Eagles Prime,"Austin, TX"
6899,Blue Bots,"Kingston 6, 02"
7129,Robo Raiders,"Lebanon, IL"
7242,BC Robocats,"Blanchard, OK"
9415,Wrench Dressing,"Chanhassen, MN"
9879,Root Negative One,"Springdale, AR"
10477,Rapid Robots,"Novi, MI"
10949,Mechanical Operations Bureau,"Cross River, NY"
11260,Up-A-Creek Robotics,"Longmont, CO"
11468,Ohm Raiders,"Chattanooga, TN"
11770,Curiosity,"Los Angeles, CA"
12887,Devolt Phobos,"Chihuahua, CHH"
13181,Free WiFi,"Westerly, RI"
14023,SCHS Robotic Team - Phoenix Fire,"Calgary, AB"
14140,Crash Test,"La Jolla, CA"
14212,Metrobotics,"Forest Hills, NY"
14361,CPHS ROBOLOBOS GREEN,"Cedar Park, TX"
14380,Blue BotBuilders,"Northgate, QLD"
14503,Robo Sapiens,"Sugar Land, TX"
15173,Robotic Eagles,"Milton, GA"
15342,Aries,"Roseburg, OR"
15534,VERTEX,"Exeter, NH"
16410,GentleBotz,"Breda, NB"
16417,ROC,"Richmond Hill, ON"
16671,Northville Broncobots,"Northville, MI"
17080,NewT.exe,"Potomac, MD"
17962,Ro2D2,"PLOIESTI, PH"
18225,High Definition,"Bellevue, WA"
18317,Steel Eels,"Gainesville, FL"
18492,Mukhtar Robotics Team,"Tripoli, TB"
18527,PCM Alchemists,"Monroe, IA"
18763,Texpand,"Cape Town, WC"
19366,CTF,"Bedford, IN"
19411,Tech Tigers,"Sharon, MA"
19502,The Moment Makers,"Pearland, TX"
19824,Pride Robotics,"New Orleans, LA"
19889,Robo-Sapiens,"Wilmington, DE"
22222,Dominican Republic Incredible FIRST Team (Team DRIFT),"Santo Domingo, 01"
22508,SUPERNOVA,"beijing, BJ"
22509,CKK-ROBOT Senior,"Mueang, 51"
23114,Sabah,"Doha, DA"