Red 1,Red 2
5741,724
19366,11468
207,23114
3189,3409
18225,10949
13181,14503
19502,16417
12887,14140
19889,18763
6899,17080
16671,6272
6133,14023
10949,23114
15342,207
22509,19824
11770,9879
18527,19366
18763,14361
18492,7129
18317,19889
6272,19411
14380,3409
14212,15534
6133,10477
22509,19502
9415,3189
724,18763
17080,17962
15342,19889
14380,5741
14140,14023
18527,6272
7129,6133
3409,16671
15534,16417
22222,7242
10949,17080
9415,6899
724,17962
14503,12887
5741,10477
13181,18492
3189,19411
11468,22508
7242,6165
15534,11260
207,16417
19824,15173
12887,9415
11770,13181
19411,17962
14503,14023
3189,11468
22222,18225
14212,16410
18527,23114
6272,14361
19366,5741
18317,16417
207,10949
22508,9415
724,9879
14212,18225
22222,14503
23114,22509
19366,6272
6165,15342
18317,19824
16671,14140
17962,16410
19502,207
5741,7242
19411,11260
14023,9415
15534,18225
22509,14503
14140,10477
7129,19889
6272,207
14361,15173
12887,19824
7242,10949
19502,22508
18317,17962
6165,22509
18492,16410
9879,15534
9415,7129
18763,22222
16417,14212
15173,11770
13181,6133
7242,22508
15342,12887
19824,19502
18527,16671
19366,14023
14140,17080
18763,15173
14361,6133
22508,22222
23114,7242
6165,724
5741,3409
18527,11770
11260,3189
14380,16671
6899,22509
6133,19366
18763,7129
19411,15173
14361,3409
9879,6165
11260,19889
10477,18492
19502,14380
16671,15342
11468,12887
17962,19824
6899,16410
15173,14212
3409,18225
18317,10477
19889,22508
17080,7129
9879,11260
14380,11468
16417,14361
18492,22222
23114,6899
13181,16410
11770,6165